,model,r2,explained_variance,neg_mean_squared_error,neg_root_mean_squared_error
0,LinearRegression,0.8406658280042196,0.8413624612601567,-2143043135.4907246,-46158.136888626745
0,Ridge,0.8407615544514229,0.840899343474238,-2124590228.6776738,-45997.377854552964
0,Lasso,0.8412082435479092,0.8409042716518508,-2128659608.4833114,-45970.40727684509
0,ElasticNet,0.7455921667601662,0.7456507218675584,-3395429254.459959,-58292.84411929755
0,SGDRegressor,0.8409401860788798,0.8379116118410181,-2134525864.3987584,-46321.603641424415
0,RANSACRegressor,0.7864041755033961,0.7755306411262933,-2667512821.586686,-52167.246007817834
0,SVR,-0.04861901598694614,0.007255310298354778,-14017041049.306452,-118395.66299488577
0,LinearSVR,-2.6907865698430613,0.001061553734812093,-49334831377.07487,-222108.6085378069
0,KNeighborsRegressor,0.8977486047617255,0.897675177914236,-1380647298.2277,-36821.40893327207
0,GaussianProcessRegressor,0.8768731207101303,0.8841076510022621,-1661622714.4018073,-40593.31130391339
0,DecisionTreeRegressor,0.9930273726664183,0.9936272613483105,-83341656.05236906,-8997.132790569729
0,AdaBoostRegressor,0.831676165196732,0.8839809003960772,-2292919525.1833024,-47612.17389547937
0,BaggingRegressor,0.9970160607802105,0.9969897066314836,-41822239.76972973,-6296.644307451483
0,RandomForestRegressor,0.9977202935271215,0.997589401666336,-41817025.90415297,-5616.6530619938185
0,GradientBoostingRegressor,0.9944321238348106,0.9945101583002056,-71072684.98139961,-8370.772932254124
0,MLPRegressor,-1.3444587716640946,0.346062564049798,-31861555741.80971,-177583.81059466794
